VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
words can be misunderstood when not accompanied by verbal links (smiles etc),11,"quick, easy, avoids the need to speak to someone on the phone. email is available when the person wants to access it",1,1,1,2,2,16,10,10,2,2,1,see answer to first question,5,2,4,having to delete anything not relevant,2, , , , ,5,6,7,8,9, ,content not relevant - when messages are sent to all staff that will only be relevant for A level tutors for example,8,1.5,9.7,5.3,9.7,1.2,2,9,1.1,10,10,4,9.8,5.3,9.6,5,1.1,10,5,10,10,1,1,1, ,yes due to the fact that 95% of the population cannot bear to be parted from their phones which are becoming more and more 'smart',3,7,leave the mobile devise at home,7, ,99,empathy and appreciation of work done by the colleagues/management even though it is different from your role,6, ,6,4,20,5,2,3,none,99,0
You are expected to respond immediately; spam; phishing; as it is sent instantly you may act impulsively and regret your content; possibility of sending sensitive information to the wrong person.,12,Quick; free (in the main); a good way to keep in touch;,1,2,1,9,2,30,10,10,1,5,1,"I alsways attempt to compose tactfuly, short emails.",5,2,10,Message sent to all staff that are not always meant for me; emails duplicated by the VLE,2, ,2, , ,5,6,7,8,9, , ,99, ,9.9,9.9,10, , , , , , , ,10,9.8,10, , , , , , ,2, , , ,Yes,1,0,Yes,0,No,99,Open and free communication,2, ,5,4,34,5,2,1,No impact whatsoever,99,0
Not being able to speak to people face to face.,4,Quick,1,3,1,3,2,179,20,20,2,98,2,Haven't got time,2,1, , ,99, , , , ,5, , ,8,9, ,Face to face - People use email to avoid doing what they have been asked to do.,5,6.5,9.9,9.9,6.1,4.1,5.5,6.4,3.7,5,9.3,9.8,9.9,9.8,6.6,6.9,9.5,6.2,3.8,5.9,3.7,2, , , ,Yes,1,0,Not too sure.,99,No,99,Email is better used for people who are not that aquainted.,2, ,5,3,4,4,2,2, ,99,0
Receiving emails from people regarding issues that are not relevant.  Also junk mail.  Its time consuming going keeping on top of all these messages.,3,Instant messages.  Increases communcation.,1,1,1, ,2,20,7,15,1,5,1, ,99,2,20,Sifting through irrelevant emails.,2, , , , , , , ,8,9, ,The new gmail system allows conversation threads which when you respond to them then resends the email to all concerned.  It can be very irritating to keep getting the same conversation again and again.,8,5,2.2,5,5,4.8,6.1,6.1,6,9.2,7,7.4,3.5,6.2, , ,5.5,6.5,5.9,8,6.8,1,1,1, ,Yes,1,0,Yes,0,Yes,99,"Good communication in person makes for better communication via email, most of the time.",2, ,6,4,21,4,2, , ,99,0
You lose the face to face contact,4,Quick way of passing information,1,1,3,1,2,30,4,4,2,50,1,usually do but sometimes if I am rushed I will send an email and regret it later,5,2,15,The inbox is usually full and just going through each email and deleting takes time,9, ,2, , ,5,6, ,8,9, ,Content that is not relevan - it is easy to send block emails without considering the audience and this takes time and the content is irrelevant,8,8.4,8.8,4.6,6.7,5.4,5.4,9.5,8.8,10,10,9.4,8.7,7.5,8.3,4,7.1,7.2,8.2,9.6,9.2,2, , , ,Yes because it is quick and easy and avoids seeing the person face to face,3,7,consider who will receive it and is it relevant,1, ,99,Treating people with respect,6, ,5,4,40,5,2,4, ,99,0
They are impersonal and can be misread and misused,11,Instant feedback and detail.,1,4,1,3,2,90,50,40,1,2,1, ,99,2,30, ,99, , , , ,5,6,7,8,9, ,Emails about detail that is already available on next.<br/><br/>The use of cc in emails to drop you in it rather than inform,8,7.3,9.8,9.7,9.9,5.6,1.9,10,10,10,10,10,10,10,10,10,8.9,7.3,6.2,5.7,6.9,2, , , ,Yes,1,0,Yes definitley,0,no,99,Mutual respect of each others role within an organsiation and valuing contributions from the relationship,6, ,7,4,29,3,2,4, ,99,0
time consuming,2,evidence very often needed and the ability to contact several people in one go.,2,2,1,1,3,120, , ,1,4,1, ,99,1,50,"I do not believe that I waste time using emails, but a lot of time is lost by having to send emails",4, , , , ,5,6,7, ,9, ,members of staff sharing the same office.<br/>Very poor wording including text<br/>Members of staff requesting information which would not be relevant to them at that time.<br/>Repeat messages being sent.,6,1,1, ,10, ,10,10,10, , ,10, ,10,10,10, ,10, , , ,2, ,2,1,yes,1,0,yes,0,no,99,People who will listen and remember things. Email seems to be the only alternative we have to protect ourselves within our working environment.,2, ,7,4,21,5,2,4,n/a,99,0
Tend to send quick messages as there are so many to deal with. <br/>,13,leave messages when you cannot contact someone on the phone,4,1,1,2,2,20,5,5,2,50,1, ,99,1, , ,99, , , , ,5, ,7,8, , ,"an email following a conversation that we had repeating the information that I had given her, as if to make it an offical matter",8,10,10,10,10,5,5,10,5,10,10,10,10,10,10,10,10,10,10,10,10,2, , , ,yes,1,0, ,99, ,99,reliable tam members,8, ,5,4,21,4,2,1,no junk mail passed on,6,1
Access and time to check them,13,"Quick, easy, can contact many people in one go.",1,1,1,1,2,45,10,10,2,50,1,Its easier to misunderstand an e-mail as its harder to determine the tone.,5,2,10,Deleting spam. Reading e-mails that are not relevant to you.,1, ,2, , ,5,6,7,8,9, ,Frequently getting messages to all staff which are only relevant to certain members of staff. As the writer is unsure which staff member to send it to they just send it to all staff.,8,5,10,10,10,7.5,1,5,7,10,8,5,10,10,10,3,7.5,5,8,10,7,2, ,2,1,Yes,1,0,Only send e-mails to the relevant people. Train how to send efficient messages,2,No,99,Very good communication,2, ,5,4,17,3,2,2, ,99,0
Lack of personailty (too formal).   Also spam,4,Speed of communication,1,2,2,8,2,25,10,10,1,5,1,try to word it relevant to the recipient,5,2,4,Going through junk e mails,1, , , , ,5,6,7,8, , ,I feel that if you are sitting by a person you should be able to say things you would put in an email face to face.  I do think that a written confirmation is applicable but only after a verbal response,5,5,10,6.9,6.6,7.7,3.4,7.6,7.2,10,10,10,10,10,6,5.3,8.2,3.7,10,10,9.9,2, ,2, ,yes or in different forms,3,3,Less junk and used only to provide the relevant information.  trawling through conversations to find details is time consuming,7,Junk mail takes up too much time and important emails can be missed,5,being able to communicate.,2, ,7,3,5,4,2,1,I only use it for work purposes,4,1
Staff sending irrelevant emails in a blanket approach.<br/>Use of email abused so emails that those of high importance can be overlooked.,3,Speed at which colleagues can be contacted.  If you have no success in telephoning someone you can be sure they will pick u[p the email.<br/>Saves paper so environmentally friendly.<br/>Effective across multi site college.,1,3,1,6,2,180,25,25,1,5,1,Always - the tone of the email may not be received as intended.  Also any spelling mistakes look unprofessional.,5,2,15,OPening general emails that are not targetted specifically for me that are for info only.,2, , , , , ,6,7, ,9, ,Emails from Management littered with spelling errors and with names spelt incorrectly.,6,10,10,10,5.5,10,4.5,10,10,10,10, , , , , , , , , , ,2, ,2,6,Yes in a technological era that is constantly developing.,3,3,When information is for genral info have it posted elsewhere.,7, ,99,Mutual respect.  Inclusion.,6, ,4,4,88,3,2,3,To top and tail emails in Welsh.,6,1
It can encourage people to cc the world into emails thus caused huge amounts of useless communication.Also it makes some lazy people think that they are covering themselves wjen sendingan email rather than following up on a requested action,3,"Quick, paperless communication",1,4,1,4,2,142,35,15,1,2,1,the wording and people who are cc  have been considered carefully to avoid misunderstanding,5,2,64,Delelting and forwarding wrongly addressed emails,2,1,2,3,4,5,6,7,8,9, ,Aggression- responses to emails have been rude with no greeting etc and the contetent is abrupt statement just hovering in md air.Makes you feel attacked and vulnerable,2,9.4,5.8,9.7,9.5,9.1,9.4,10,9.7,9.5,10,9.8,6.3,9.9,10,10,9.7,9.6,10,10,10,2, ,1, ,yes,1,0,ettiqutte examples needed,2,no,99,professionalism<br/>doesnt take offence when comments made<br/>willing to listen<br/>polite and friendly,2, ,7,4,23,4,2,2,be wary of outside emails,6,1
intonation can be misread,11,fast and easy to contact and relay information,1,1,3,2,1,45,20,20,2,96,1, ,99,1, , ,99, , , , , ,6,7,8, , ,"lots of emails are irrelevant, so I ignore and delete",8,2,10,8.5,10,2.1, ,6,6.7,6.9,6.6,8.1,9.9,8.8,9.6,6.7,4.7,8.1,4,9,8,2, , , ,yes,1,0, ,99, ,99,can openly discuss all aspects of work together and offer mutual support,2, ,7,4,35,4,2,3, ,99,0
"Too many emails are received that are not relevant. for example all staff emails  that may only be revelant for those teaching 'A' level require every member of staff to deal with the email, sometimes looking at it, reading it or just deleting it.  There is far too much time wasted.",3,Quick responses,1,1,1,4,2,72,10,10,1,2,1,not doing so may generate futher emails,1,2,18,filtering non relevant emails,2,1, , , ,5,6,7,8,9, ,replies to all staff emails can amount to the same message being received several times with an additional comment from each new response.,8,2.7,1.8, ,1.8,7.6,4.2,8.5,3.6,6.8,9.7,3,2.6,5.2,4.6,8.3,4.9,9.6,3.7,5.2,9.6,2, , , ,yes,1,0,greater consideration of who the receipients need to be,1,confidentiality,4,"reliability, trust, communication, team work & consideration of others.",3, ,6,4,21,4, ,2, ,99,0
+ The volume of irrelevant material I receive.<br/>+ Being contacted during Weekends/Time off.<br/>,1,Paperless,1,1,1,2,2,45,10,10,1,5,1,I think long and hard whether the email is needed or if I can walk down the corridor to say it in person,4,2,45,filtering and deleting irrelevant material,2, ,2, , ,5,6,7,8,9, ,The same message containing the same content from multiple source-  Management repeat the emails without adding anything new to their own compositions,9,5.3,9.2,5.2,4.7,5.1,4.4,9.4,5.7,7.4,5.2,6,9.5,5.1,3.9,4.1,4,5.5,4.6,4.6,6.1,2, , , ,With the rise of facebook and social networks the use of E-mail may decrease in my opinion,4,9,Think hard about whether the e-mail is needed or if face to face comm can be the better option,7,No,99,+Honesty<br/>+Empathy towards people below and above you<br/>,2, ,5,4,48,3,1,3,None,99,0
Inpersonal.,4,Cover a wide area of recipents,1,6,1,7,2,104,20,20,1,2,1,Try to limit the number of recipients or make a telephone call,4,2,20,Dealing with Spam / Junk emails or emails that you are copied into but do not need to receive,1, ,2, , ,5,6,7,8,9, ,Content that is not relevent to you.  As a member of the HR team I feel that I am often copied in as a threat to the true recipent of the email,8,6.8,10,10,6.1,3.8,6.3,6.9,3.1,10,6.3,7.2,7.3,5.5,6.4,7.2,7.7,5.6,8,5.4,6,2, , , ,Yes,1,0,More thought given to the emails sent and a protocal established<br/><br/>,6,No,99, ,99, ,11,2,55,4,2,2, ,99,0
Y niferoedd o rhai amherthnasol sy'n cael eu anfon,1,Gwybod fod y gwybodaeth yn mynd yn syth i'r person.,9,1,1,1,2,30, , ,2,50,1, ,99,2, , ,99,1,2,3,4, ,6, ,8, , ,E byst roedd un aelod o staff yn anfon imi. Roedd y negeseuon mewn ton ymosodol. Roedd yn rhaid imi fynd ar mater ymhellach . Roedd y person yma yn anifir iawn gydaf yn lafar ond wrth iddi roi pethe i lawr mewn ebyst roedd gennyf dystiolaeth o'r ffordd roedd yn ymddwyn tuag ataf.,3,5,5.2, , ,5.1,5.1,5.3,7.1,8.1,5,5,8, ,4.1,5.1,5.4,5.3,5.1,7.3,5,2, , , ,Yn sicr . Ohewydd toriadau aianol a prisiau stampiau ac yr hwylystod o anfon ebyst mae pobl yn fwy parod i anfon ebyst.3,3,7, ,99, ,99,Mae sut mae ebyst yn cael eu geirio yn dylanwaduar sut mae'r neges yn cael eu derbyn.,2, ,6,3,2,5,1,3, ,99,0
mixed messages - no tone or body language for interpretation,9,speed,1,2,1,4,2,30,20,20,1,5,1,I try to time allowing,1, ,15,deletion  spam,1, ,2,3, ,5,6,7, ,9, ,"ignoring messages that you have sent and still pressing their initital intention,",2,6,8,5.1,8,4.5,4,7.6,3.8,7.9,3.8,8.5,8.5,7.7,7.5,8,8.1,8.4,8,8.7,8.1,2, , , ,yes,1,0,yes,0,groups/contact lists,3,respect and mutual consideration,6, ,11,4,29,5,2,2,think about what you write and the way it may ber perceived,6,1
Requires user to be logged on in order to be alerted to a new email or to check emails.<br/><br/>There is a potential for a lot of spam email.,8,"Asynchronous mode of communication is more convenient.<br/><br/>Very flexible e.g. use of attachments, signatures, out of office rules. <br/><br/>Potential for automatic notifications.",4,1,1,3,1,30,5,10,2,98,1,It takes time to respond to an email,1,2,50,To All Staff<br/><br/>Anyone interested in buying a pitbull terrier puppy please contact Andrea at the ponty campus office.,2, ,2, , ,5,6,7,8,9, ,"Today received, read, deleted a message for BTEC course tutors that was sent to all lecturers teaching on the BTEC scheme.",8,5,8,9.5,2,2,2,5,2,9.5,8,2,8,9.5,2,2,2,5,2,9.5,8,2, , , ,No. SMS text has taken over to a great extent.,4,9,Educate people not to send spam emails at work.,2,Email is not always available off site due to server downtime. The web client has a nasty habit of timing out before finishing writing an email.,3,Mutual respect.,6, ,11,4,35,4,1,1,The policy seems pretty weak to me and has had little impact on my email usage.,99,0
"Impersonal, not always relevant,",4,"Quick, easy, prompt replies",1,2,1,2,2,60,20,20,2,98,1,always reread for ambiguity or tone,5,1, , ,99, ,2, , ,5,6,7,8, , ,Sometimes my emails have been ignored or have received very blunt replies,2,8,2,8.5,9,9,4,9,8,9.5,9,1, , , , , , , , , ,2, , , ,Yes,1,0,Think before they hit send button,1,The computer system can be slow,3,One where you are treated with respect and your opinion is valued and vice versa.  Also where you are able to give and receive constructive criticism/feedback in a supportive environment.,6, ,11,4,18,4,2,2, ,99,0
"Misunderstandings, lack of personal contact, volume of unessary e mails",11,"Clarity, speed, effeiciency",1,5,1,5,2,128,30,27,1,8,1,tone even of e mails is important,5,2,12,"responding to unnessary ones, being inappropriately copied in",2, ,2, , , , ,7,8,9, ,Content that is not relevant,8,7.4,3.4,8.2,4.6,3.2,2,4.6,2.1,8.6, ,4.6,8.1,7.8,3.3,4.4,3.6,7.5,3,7.7, ,2, , , ,Yes,1,0,More protocols on use of,6,No,99,"clear,open and within reason honest exchanges.<br/>acceptance of difference but working towards concensus",2, ,11,1,55,6,1,2,inappropriate use guidance,9,1
security can be compromised.. passwords could be forgotten,8,"quicker, can have evidence of a conversation",1,1,1,2,2,50,10,10,2,50,1, ,99,1, , ,99, ,2, , ,5,6,7,8, , ,agressive tone... from a line manager.  Detailing a task that has to be done without discussion.,2,1.8, ,2.7,9.1,8.6, ,8,8.2,8.4,8.4,9.5,7.3,10,9.6,9.3,7.9,7.5,8.4,9.3,9.6,2, , , ,yes due to postal expenses increases,3,7,more training,2,no,99,communication,2, ,11,4,21,5,2,3, ,99,0
Spam emails that you can't stop.,3,"It is quick, convenient and you have a record of your correspondence in one place.",1,2,1,2,2,20, , ,2,50,1,It is difficult to imply your tone in an email and it can sometimes seem rather abrupt.,5,1, , ,99, , , , ,5, , ,8,9, , ,99, , , , , , , , , , , , , , , , , , , , , , , , , ,6,0, ,99, ,99, ,99, ,11,4,21,5,2,3, ,99,0
4,4,Availability 24/7<br/>Being able to carry on a converation regarding issues when convenient to both parties,4,2,1,2,2,61,15,15,2,50,1,"Is the email manageable, can it be understood or would it be better communicated by telephone or in person.",4,1, , ,99, , , , ,5,6,7,8,9, , ,99,2.7,2.3,8.6,10,7.5,3.9,10,10,10,10,5.2,5.4,5.8,5.5,5.6,10,10,5.8,10,10,2, , , ,Yes,1,0,A clearer understanding of netiquette,2, ,99,Clearly written mail that is to the point and cannot be misconstrued.,2, ,4,4,21,4,1,1,I do not use Facebook to email in work and do not make personal use of email. Email in work is purely for my daya to day work.,4,1
It's used too often to shed responsibility and pass it on for someone else to deal with.,12,It's a much more effective method of getting hold of someone in a busy working environment than by telephone.,4,2,1,2,2,30,10,10,1,7,1,It is too easy for the recipient to get the wrong impression.,5,2,30,"Trying to think of the right thing to say and the right way to say it, when verbal communication would do the job in a much more effective way.",4, ,2, , ,5,6,7,8, , ,People in management positions not bothering to use the English language properly when sending emails.,6,10,10,10,5.1,10,6.2,10,10,10,6.1,6.8,10,10,6,10,6.7,6.4,7.9,6.3,7.8,2, , , ,Yes.,1,0,More consideration as to the impact.,1,"Crap address book features, clunky methods of setting up group email systems.",3,Where I am not afraid to voice my feelings and opinions in person.,2, ,7,4,21,3,1,3, ,99,0
Lack of interaction between people.<br/><br/>Message can be lost in translation.,4,Speed of relaying a message.<br/><br/>relay the same message to a multitude of people.,1,5,1,7,2,90,20,20,1,50,1, ,99,2,25,Opening emails that are not relevant to me.<br/><br/>A number of emails with the same content from different people.,2, , , , ,5,6,7,8,9, ,When I am gathering information for a particular project I am working on and deadlines have passed.,9,10,2,10,8.4,8,2,8,8,10,8.5,10,5.6,10,6,9,10,10,10,6.1,10,2, , , ,Yes,1,0,make people aware of the amount of time is wasted with email usage to ensure they only send relevant emails to the relevant person.,5,No,99,A good working relationship can be expressed as a complete and well organised communication strategy.,2, ,11,3,99,4,1,1,It makes to ensure that I do not fall outside the policy.,9,1
"to much junk sent to you and a lot of time is taken when you are on a global address list, disseminating the information.<br/><br/>",3,Speed in communication especially when there is no one to answer the phone,1,3,1,5,2,112, , ,1,5,1,Email can be read as personal,5,1,25,Disseminating useless information,2, ,2, , ,5,6,7,8,9, ,I do not sometimes  think that the sender realises the content could be ofensive and upsetting to the recipient.<br/>,2,6.8,10,9.1,7,7.3,6.2,8.2,8.7,4.8,4.3,10,10,10,10,8.6,8.5,6.2,9.1,6.6,6.8,2, , , ,Yes,1,0,Yes,0,Not knowing how the eamil will be received,8,Able to communicate with out fear prejudice and upset,2, ,5,2,55,6,1,1,None,99,0
"Time consuming throughout the day, spam filter does not always stop the junk mail.",2,Fast communication in the workplace,1,4,1,4,2,80, , ,2,50,1, ,99,1, , ,99, , , , ,5,6, ,8, , ,Content not relevant to me. Multi purpose emails with information.,8, , ,4,4.5,6.8,5.7,6.9,4.3,8.6,7.6,2.3,2.6,7.9,7.5,2.8,2.9,3.6,4,8.6,7.5,2, , , ,Yes,1,0,Training,2,No,99,Any where respect is demonstrated towards each other,6, ,11,3,99,4,2,3,"Must not use text message to email, also no bad language.",6,1
4,4,Time efficiency and accuracy of information delivered.,1,7,1,5,2,180,60,60, ,50,1,i need a response in order to do my work so mail needs to have the right impact,5,1, ,Deleting sales emails. But this doesn't take me long.,1, ,2, , ,5,6,7,8,9, ,Copied into messages that are not relevant to me or I have submitted my opinion already but am still copied into the rest of the discussion unecessarily.,8,9.8,10,10,10,10,8.2,10,10,10,6.5,10,10,10,10,10,7.2,10,10,10,10,2, , , ,Yes,1,0,Only use for business not for personal things at work. e.g collecting money for charity,4, ,99, ,99, ,6,3,10,3,2,2, ,99,0
time to read them as there are many general ones,3,quick to send,1,1,1,1,2,10,20,20,2,50,1, ,99,1,20,read emails that do not apply,2, , , , , ,6, ,8,9, ,general email,8,1,1.2,7.2,7.7,2.6, ,4, , ,10,9.5, ,9.6,7.8,2.7,3.3,10,2,10,1.6,2, , , ,yes,1,0,yes,0,no,99,"clearly written ,prompt reply",2, ,5,4,88,5,2,3, ,99,0
Messages can sometimes be misunderstood,11,"They can be sent at any time, and can be opened at a time to suit you.",4,1,1,1,2,30,15,15,2,98,1,for courtesy reasons,5,1, , ,99, , , , , ,6,7, , , ,"Poorly written - using ""text-speak"" eg U,thx, etc.",6, ,9,6,7,2,3,8,9,2,9,10,10,8,3,3,3,9,7,2,5,1,1,1, ,Yes,1,0,Think before you send,7,Not that I can think of,99,"Good sense of humour, respect and trust",6, ,7,3,2,5,2,1,I am careful to review the content of emails before I send them in terms of appropriateness and language,6,1
They can be time consuming because you have to read so many.  You receive a lot of emails that are not relevant.  The memory is very small compared to your personal email.,2,It is reliable.  You have everything in writing so you can retrace your steps and prove your actions.  It is reassuring.  You are able to communicate quickly with more people.  As a member of staff it helps keep you more abreast of the what is going on accross the college.,2,1,1,2,1,30,5,5,2,98,1,I think that the wording of an email can sound harsh so I always check my email for tone.  I also check that I do not bombard people with emails.,5,1, ,Sending private emails.,9, , , , , ,6,7,8,9, ,Many poorly written messages come through email which gives a poor impression that they are rushed or reflects badly on that individual.,6,5.4,10,10,10,4, ,10, ,10,10, ,10,10,10,10, ,6.3, ,8.6,7.3,2, , , ,Possibly or taken over by some other form of social media.,3,3,Using it for appropriate messages and identifying when a phonecall or visit would be more appropriate.,7,"Memory in the college is slim, it is time consuming saving so many messages that i need to keep.",6,"Someone who you communicate with regularly through phone, email, and person to person, where you work together to reach the same goals.",2, ,5,4,21,2,2,2, ,99,0
They tend to be impersonal and although they reach the recipient very quickly their reply is sometimes not received as promptly as you would like.<br/><br/>Also some staff here nevwer ever access their e-mail accounts,9,"The main benefits are the speed, and also the broad goegraphical srea thta can be covered by using this service",1,2,1,3,2,60,7,12,2,98,2,not always sometimes you just want a prompt answer to the information you have asked for as it is often needed before you can move forward with this information,6,2,5,I sometimes receive alot of spam e-mails thta you have to delete or you receive alot of emails for all users thaty you have to sift through,1, , , , , , , ,8,9, ,I have often received inforamtion that is sent to all users that is not rleveant to my area of work or that has information that is not work related <br/><br/>recently I have received an e-mail that is offering equipment for sale thta is not work related,8,7.6,7.8,4.9,7.8,7.8,7.8,6.6,6.7,7.3,9.1,8.2,8.5,8.8,7.9,7.4,6.8,8.1,7.9,8.2,8.3,2, , , ,yes I do as technology increase I feel that the need to and use of e-mails will increase,3,3,I think that it will be very difficult to change the behaviour of all persons who have acccess to email as it is such a widely used technology and it is difficult to change peeples behaviour in general,99,sometiomes it feels very impersonal to ask certain questions by using e-mail,9,yes I think thta the relationship you have with the person you are e-mailing changes the mode and content of the e-mail,2, ,11,4,26,4,2,3,They do not greatly impact on my daily usage as I only use e-mail on a professional level I very rrarely comminucate by e-mail on a personal level I tend to use text (phone) to do this<br/>,4,1
"It can sometimes be easy to send an email to the wrong recipient, so extra care needs to be taken particularly when emailing confidential data.",8,"It is a quick and easy method of communication.<br/>It is an electronic form  of recording actions and decisions, as opposed to verbal communication.<br/>It is also a good method for sending attachments and avoiding snail mail costs.",1,3,1,2,2,60,20,15,2,98,1,Check content first.,5,1, , ,99, , , , , , , , , ,10,I have not experience of any issues regarding the above.,99,9,5.1,9,2,9,5,8,8,8,9,8.3,8.4,9,5,5.1,9.4,8.1,8.3,7.6,9,2, , , ,Yes definitely.,1,0,Training of correct usage would avoid errors.,2,I can't think of any at the moment.,99,A good working relationship is where individuals treat each other with respect.  It is important to be courteous during all levels of communication.  Communication should always be professional within a working relationship.,6, ,5,3,2,5,2,2,To ensure safety of communication.,7,1
sometimes people cant seem expressions and written communication can be taken in the wrong context,9,it is quicker,1,5,1,3,2,178,15,12,1,50,1, ,99,1, , ,99, ,2, , , ,6,7,8, , ,sometimes emails are sent out to all staff and this is sometimes irrelevant to me personally but it has to be read and deleted which takes time,8,9.6,10,9.8,10,2.1,6,10,10,10,10,2.6,10,10,9.8,10,10,9.7,10,9.7,10,2, , , ,yes,1,0,take a little more time before composing emails and sending to only relevant people,1,time,7,being able to communicate openly and honestly with people and ensuring both understand the communication.,2, ,11,2,55,4,2,1,i am very aware of data protection and think about this aspect before emailing people i am not familiar with or that of the organisation.,7,1
Misunderstanding of real feelings,9,"time,",1,1,1,1,2,30,10,10,2,50,1, ,99,1, , ,99, , , , ,5,6,7,8,9, ,"Hastily composed, needing my time to reply to ask for clarification",7,8.5,5.3,4.5,8.4,2,6.1,6.1,4.1,5.6,6.1,4.7,4.9, , ,5.3,5.9,7.9,3,2.9,2.7,2, ,2,2,yes,1,0,don't know,99,no,99,truthfulness,2, ,7,4,35,5,2,3,think before writing,6,1
Those sending e-mails usually expect/imply an instant repsonse.,6,"Accessibility, ease of usage, global access",1,4,1,7,2,120,40,40,1,2,1,Workload concerns,1,2,30,Reading e-mails that I'm cc'd into.,2, ,2, , ,5,6,7,8,9, ,Coopied into e-mails that have no relevance to my role.,8,9,9,10,10,5,4,9,9,10,10,5,10,10,10,5,5,10,9,10,10,2, , , ,Yes,1,0,Training on communication skills,2,I think that there should be a feature to tell recipients that the e-mail is for their attention or simply just copied for information.,8,"The ability to communicate via faceto face, telephone exchange, face time or e-mail.",2, ,11,1,55,5,1, ,"Couldn't recall a policy relating to e-mail usuage and having looked at the College's Policies site, there isn't one on e-mail usage.",99,0
lack of confidentiality<br/>sometimes people misunderstand the essence of the message,10,"fast, easy accessible and I have a phobia about telephones",1,2,1,3,2,30,5,10,1,5,1,can offend people,5,1, , ,99,1,2,3,4,5,6,7,8,9, ,All of the above annoy me but he worst is when people are rude,10, ,10, ,10, ,10,9.9,5.3,10,10, ,10, ,10,10,10,10,10,10,10,1, ,1, ,yes,1,0,If people think about what they are writing anf id people respond within twenty four hours,1, ,99, Having a respectful attitude towards other people's opinions,6, ,6,4,88,5,2,1,I never send mail with confidential content,7,1
It takes a lot of our time and attention.,2,Speed; evidence; quick reply.,1,1,1,2,3,45,10,12,2,50,1,.I care about the people I communicate with.,5,2,5,"You go to different links from e-mail with relevant to your job subject.  Then it appeared that some company tries to sell you some software or books in general, not specifically what you need...",1, , , , , ,6, , ,9, ,I think that all people must use spellcheck and think about Grammar even if they send a small note.  They also are not expected to use slang or dialects...,6,7.6,9.8,9.9,8.5,8.1,8.5,8.8,9.8,9.8,9.8,8.5,9.8,9.9,7.7,8.7,8.8,8.8,9.8,9.8,9.8,1,88,2,5,Yes + SMS on your phones,3,3,"Shorter, straight to the point, no slang...",7,I do use them effectively!,99,Good working relationship depends on effective communication.  It obvious!,2, ,11,3,5,5,2,1,"I tried to write them short, straight to the point, polite and without slang.  I also reply when I know the sender wants me to reply.",6,1
"some statements can be misunderstood.<br/>there is nothing like the personal touch.<br/>they can be missed if cursor shadows i.e. if one groups together by unread, any shadowed over will not be included in that grouping.",11,you can get on with other work whilst awaiting a response.<br/>Replies in writing can be held historically to refer back to.<br/>Communication can be held to account for what was said at the time.,4,2,1,3,2,74, ,10,1,2,1,"sometimes you say what you feel, then decide to filter and amend.",5,1, , ,99, , , , , , , ,8, , ,"e.g. for emails aimed at tutors, therefore grouping would be more appropriate",8,1.5,3.8,9.9,9.8,10,9.8,8.2,5.1,9.8,9.8,5.1,5.6,9.9,9.8,9.9,9.8,9.6,9.7,9.9,9.8,1,1,1, ,yes,1,0,?,0,no,99,being pleasant,6, ,11,2,55,6,2,1,Not using capital letter to emphasise a point.,6,1
Too easy to use consequently used when other methods would suffice. Some badly written.,4,Speed and convenience,1,1, ,2,2,46,5,5,1,2,1, I try to,88,2,16,Dealing with repeated requests and deleting unnecessary emai8ls,2, ,2,3,4, ,6,7,8, , ,Line manager has sent several emails when there is urgency sometimes threatening tone and sometimes irrelevant,2,7.6, , ,8,7.9,7.9,9.7, , ,7.2,8.1,8.2,3.1,8.7,2.7,3.5,8, , ,7,2, , , ,Yes given its convenience,3,5,If they considered it was necessary and appropriately communicated,7, ,99,Mutual respect and,6, ,11,4,21,6,1,1, ,99,0
